// This file is used to define Footstep and impact sounds per texture surface
// Usage:
// <texturename> <material type>
//
// For the <texturename> field, the base/textures directory is assumed.  No need for extensions either.
//
// The material type is as follows
//
// sand
// snow
// metal_duct
// metal
// rock
// dirt
// grill
// organic
// squishy
// metal_hollow
// carpet
//
// Example:
// a2e5-15/a2e9_dia_plat_plain metal

//CHRISSSTRAHL
attrexian-station/asfloor4 metal
attrexian-station/asfloor5 metal
attrexian-station/asfloor6 metal
attrexian-station/asfloor7 metal
attrexian-station/asfloor8 metal
attrexian-station/asfloor9 metal
attrexian-station/checkfloor metal
attrexian-station/checkfloor1 metal
attrexian-station/checkfloor2 metal
attrexian-station/checkfloor3 metal
attrexian-station/metal1 metal


enterprise/shuttle_floor_base metal
enterprise/shuttle_floor01 metal
enterprise/shuttle_floor01b metal
enterprise/shuttle_floor02 metal
enterprise/shuttle_floor02a metal
enterprise/shuttle_floor02b metal
enterprise/shuttle_floor03 metal
enterprise/shuttle_floor04 metal
enterprise/shuttle_floor05 metal
enterprise/shuttle_floor06 metal
enterprise/shuttle_floor07 metal

forever/shuttle_floor_base metal
forever/shuttle_floor_base2 metal
forever/shuttle_floor_base3 metal
forever/shuttle_floor01 metal
forever/shuttle_floor02 metal
forever/shuttle_floor03 metal
forever/ffloor1 metal



k-7_starbase/k7_cfloor2 metal
k-7_starbase/k7_cfloor3 metal
k-7_starbase/k7_cfloor4 metal
k-7_starbase/k7_cfloor5 metal
k-7_starbase/k7_cfloor7 metal
k-7_starbase/k7_cfloor8 metal
k-7_starbase/k7_cfloor9 metal
k-7_starbase/k7_cfloortrim1 metal
k-7_starbase/k7_cfloortrim2 metal
k-7_starbase/k7_floor3 metal
k-7_starbase/k7_floor4 metal
k-7_starbase/k7_floor5 metal
k-7_starbase/k7_floor6 metal
k-7_starbase/k7floor1 metal
k-7_starbase/k7floor2 metal
k-7_starbase/k7floor3 metal
k-7_starbase/k7floor4 metal
k-7_starbase/temp_k7_floor7 metal
k-7_starbase/k7_efloor4 metal
k-7_starbase/kfloor1 metal
k-7_starbase/kfloor2 metal
k-7_starbase/kfloor3 metal
k-7_starbase/kfloor4 metal
k-7_starbase/kfloor5 metal
k-7_starbase/kfloor6 metal
k-7_starbase/kfloor7 metal
k-7_starbase/kfloor8 metal
k-7_starbase/kfloor9 metal
k-7_starbase/kfloor10 metal
k-7_starbase/kfloor11 metal

klingon/kfloor1 metal
klingon/kmet1 metal
klingon/kmet1green metal
klingon/kmet2 metal
klingon/kmetwall1 metal
klingon/ktile2 metal
klingon/ktile3 metal

romulan_installation/romduct1 metal
romulan_installation/romduct2 metal
romulan_installation/romduct3 metal
romulan_installation/romduct4 metal
romulan_installation/romfloor1 metal
romulan_installation/romfloor2 metal
romulan_installation/rompan1 metal
romulan_installation/rompan2 metal
romulan_installation/rompan3 metal
romulan_installation/rompan4 metal
romulan_installation/rompan5 metal
romulan_installation/rompan6 metal

common/metalclip metal

//	    GRILL


attrexian-colony/acgrate1 grill
attrexian-colony/acgrate2 grill
attrexian-colony/acgrate2_b grill
attrexian-colony/acgrate2_noshader grill
attrexian-colony/acgrate3 grill

attrexian-station/asfloor12 grill
attrexian-station/asfloor17 grill
attrexian-station/asgrate1 grill
attrexian-station/asgrate2 grill
attrexian-station/asgrate3 grill
attrexian-station/asgrate4 grill
attrexian-station/asgrate5 grill
attrexian-station/aspan4b grill
attrexian-station/aspan4c grill
attrexian-station/astrack4 grill

enterprise/jtubefloor grill
enterprise/jtubefloor01 grill
enterprise/jtubefloor02 grill
enterprise/jtubefloor03 grill
enterprise/jtubefloor03alpha grill

forever/gratefloor1 grill

k-7_starbase/k7grate1 grill
k-7_starbase/k7_efloor2 grill
k-7_starbase/k7floor5 grill
k-7_starbase/kgrate1 grill
k-7_starbase/kgrate2 grill

klingon/kfloor2 grill
klingon/kfloor3 grill
klingon/met_grate1 grill
klingon/met_grate2 grill
klingon/met_grate3 grill

romulan_installation/romeventtga grill
romulan_installation/romfloor3 grill
romulan_installation/romgrate1 grill
romulan_installation/romgrate4 grill
romulan_installation/romgrate5 grill



//          SNOW


romulan_installation/r_ice1 snow
romulan_installation/r_ice2 snow
romulan_installation/r_ice3 snow
romulan_installation/ri_ice1 snow
romulan_installation/romice1 snow
romulan_installation/romsnow1 snow
romulan_installation/romsnow2 snow
romulan_installation/romsnowrock1 snow
romulan_installation/snow snow

//	METAL_HOLLOW


forever/diamond-floor01 metal_hollow
forever/diamond-grate01 metal_hollow
forever/metal_step metal_hollow
forever/metal_step_light01 metal_hollow
forever/metal_step_light02 metal_hollow



enterprise_exterior/ent_met1 metal_hollow
enterprise_exterior/ent_met2 metal_hollow
enterprise_exterior/ent_met3 metal_hollow
enterprise_exterior/ent_met4 metal_hollow
enterprise_exterior/ent_met5 metal_hollow
enterprise_exterior/ent_met6 metal_hollow
enterprise_exterior/ent-trim01a metal_hollow


//////////////////////////////////////
//
//	TEST textures
//
//////////////////////////////////////


test/asfloor3 metal
test/asgrate2 grill
test/d_wood1 metal
test/drock2 dirt
test/dswampgrass1 organic
test/dswamprock1 rock
test/romice1 snow
test/sand sand
test/swampwater1 squishy




